Site,Coordinates ,Source for Coordinates,"Decimal Degrees Coordinates (Latitude, Longitude)",Family1,Genus1,species,subspecies,Name as described2,Distribution3 ,Lifeform/Habit4,Original plant part descriptions,Part consumed: Leaf,Part consumed: Fruit,Part consumed: Seed,Part consumed: Flower,Part consumed: Other,Part consumed: Unknown,Source for part consumed,Common name,Source for common name
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Anacardiaceae,Abrahamia ,sericea,*,Abrahamia sericeae,Endemic,Tree,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Resonjo ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Apocynaceae,Petchia ,madagascariensis,*,Cabucala madagascarienses,Endemic ,"Shrub, tree",ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Fekanala ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Celastraceae? (originally as Hippocrataceae),?,?,*,Hippomea sp.,*,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Farivomanga ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Dilleniaceae,Tetracera ,madagascariensis,*,Tetracera madagascariensis,Endemic ,"Liana, shrub",mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Vaha ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Dioscoreaceae,Dioscorea ,sp.,*,Dioscorea sp.,Family or Genus Not Endemic to Malagasy Region,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Forofoky ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Erythroxylaceae,Erythroxylum ,buxifolium,*,Erythroxylum buxifolium,Endemic,"Shrub, tree",mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Taingalavo ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Euphorbiaceae,Dalechampia ,sp.,*,Dalechampia sp.,Family or Genus Not Endemic to Malagasy Region,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Sariondro ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Fabaceae,Dialium ,sp.,*,Dialium sp.,Family or Genus Not Endemic to Malagasy Region,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Azofotsy ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Flagelliaraceae,Flagellaria ,indica,*,Flagellaria indica,Native Not Endemic,"Liana, vine",mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Vahimpiky ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Hypericaceae,Harungana ,madagascariensis,*,Harongana madagascarienses (SIC),Native Not Endemic,"Shrub, tree",new leaf; mature leaf; flower; ripe fruit,leaf (immature and mature),fruit (ripe),*,flower,*,*,Razafindramanana (2011),Arongana ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Icacinaceae,Pyrenacantha ,sp.,*,Pyrenacantha sp.,Family or Genus Not Endemic to Malagasy Region,*,new leaf; mature leaf,leaf (immature and mature),*,*,*,*,*,Razafindramanana (2011),Vahikatepoka ,Razafindramanana (2011)
